Code,Subdivision Name
UA-23,Zaporizka oblast
UA-26,Ivano-Frankivska oblast
UA-30,Kyiv
UA-32,Kyivska oblast
UA-35,Kirovohradska oblast
UA-40,Sevastopol
UA-43,Avtonomna Respublika Krym
UA-46,Lvivska oblast
UA-48,Mykolaivska oblast
UA-51,Odeska oblast
UA-53,Poltavska oblast
UA-56,Rivnenska oblast
UA-59,Sumska oblast
UA-61,Ternopilska oblast
UA-05,Vinnytska oblast
UA-63,Kharkivska oblast
UA-07,Volynska oblast
UA-65,Khersonska oblast
UA-09,Luhanska oblast
UA-68,Khmelnytska oblast
UA-12,Dnipropetrovska oblast
UA-71,Cherkaska oblast
UA-14,Donetska oblast
UA-74,Chernihivska oblast
UA-18,Zhytomyrska oblast
UA-77,Chernivetska oblast
UA-21,Zakarpatska oblast
